epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.41011059284210205,0.41316184401512146,0.21688920259475708,0.27366405725479126
1,0.0010000000474974513,0.24971267580986023,0.30505165457725525,0.13253699243068695,0.19699513912200928
2,0.0010000000474974513,0.18651825189590454,0.24880807101726532,0.10460665076971054,0.16629059612751007
3,0.0010000000474974513,0.15417860448360443,0.2144300639629364,0.08911659568548203,0.14703719317913055
4,0.0010000000474974513,0.13544951379299164,0.1944052129983902,0.07599924504756927,0.13376480340957642
5,0.0010000000474974513,0.12172965705394745,0.18041926622390747,0.06704691797494888,0.12406405806541443
6,0.0010000000474974513,0.11155835539102554,0.169215127825737,0.060437243431806564,0.11419010907411575
7,0.0010000000474974513,0.10383839905261993,0.1611362248659134,0.05578555911779404,0.10941720008850098
8,0.0010000000474974513,0.09647085517644882,0.15446245670318604,0.04876762628555298,0.10493705421686172
9,0.0010000000474974513,0.08964528888463974,0.14819470047950745,0.04408910125494003,0.09674616903066635
10,0.0010000000474974513,0.08395744115114212,0.14265508949756622,0.04243552312254906,0.09615330398082733
11,0.0010000000474974513,0.07964029163122177,0.138274684548378,0.041473619639873505,0.09381727874279022
12,0.0010000000474974513,0.0758330300450325,0.1343105435371399,0.040125470608472824,0.09124985337257385
13,0.0010000000474974513,0.07305009663105011,0.13155467808246613,0.03834522143006325,0.0902317613363266
14,0.0010000000474974513,0.07009347528219223,0.12841790914535522,0.035788629204034805,0.08604494482278824
15,0.0010000000474974513,0.06782485544681549,0.12624898552894592,0.0353391207754612,0.08698814362287521
16,0.0010000000474974513,0.06547748297452927,0.12357087433338165,0.03342530131340027,0.08509273827075958
17,0.0010000000474974513,0.06351085007190704,0.12163817882537842,0.03385669365525246,0.08420728147029877
18,0.0010000000474974513,0.06165199354290962,0.11950520426034927,0.034549351781606674,0.08394700288772583
19,0.0010000000474974513,0.05999523401260376,0.11770303547382355,0.032205160707235336,0.0827689990401268
20,0.0010000000474974513,0.05891646817326546,0.11631886661052704,0.03360829874873161,0.08416157215833664
21,0.0010000000474974513,0.0573781318962574,0.11456628888845444,0.03272164613008499,0.08095437288284302
22,0.0010000000474974513,0.05648496374487877,0.11369694769382477,0.03167739883065224,0.07964712381362915
23,0.0010000000474974513,0.05539390444755554,0.11232730746269226,0.031046472489833832,0.08082597702741623
24,0.0010000000474974513,0.05432121828198433,0.11138078570365906,0.03196398541331291,0.08023060858249664
25,0.0010000000474974513,0.05360038951039314,0.11041095852851868,0.03223108500242233,0.07990013062953949
26,0.0010000000474974513,0.05265352874994278,0.10956527292728424,0.03141384944319725,0.07872355729341507
27,0.0010000000474974513,0.05190298333764076,0.10839959233999252,0.030003149062395096,0.07737747579813004
28,0.0010000000474974513,0.0509805791079998,0.1076415404677391,0.031054073944687843,0.07874303311109543
29,0.0010000000474974513,0.05039802938699722,0.1066741943359375,0.03102409653365612,0.07829342037439346
30,0.0010000000474974513,0.050101932138204575,0.1063847467303276,0.030563997104763985,0.07698627561330795
31,0.0010000000474974513,0.04921949654817581,0.105244480073452,0.030029581859707832,0.07770907133817673
32,0.0005000000237487257,0.047264132648706436,0.10091664642095566,0.02957984060049057,0.0726466029882431
33,0.0005000000237487257,0.04681706428527832,0.10040841996669769,0.03032117523252964,0.07430730760097504
34,0.0005000000237487257,0.0465683676302433,0.10006812959909439,0.029753003269433975,0.07240340858697891
35,0.0005000000237487257,0.04603290185332298,0.0996473878622055,0.03169134631752968,0.07410934567451477
36,0.0005000000237487257,0.045665428042411804,0.09919465333223343,0.03167041391134262,0.07437955588102341
37,0.0002500000118743628,0.04465159401297569,0.09674444794654846,0.030241282656788826,0.07159728556871414
38,0.0002500000118743628,0.04435783997178078,0.09636912494897842,0.0295364148914814,0.06974438577890396
39,0.0002500000118743628,0.044089119881391525,0.09583166241645813,0.03027927875518799,0.07146966457366943
40,0.0002500000118743628,0.044012706726789474,0.09585575759410858,0.03053722344338894,0.0712839663028717
41,0.0001250000059371814,0.04358357563614845,0.09485036134719849,0.029451048001646996,0.06907595694065094
42,0.0001250000059371814,0.04344261437654495,0.09450586140155792,0.02951137349009514,0.06912583857774734
43,0.0001250000059371814,0.04329700022935867,0.09441662579774857,0.03003534860908985,0.06963341683149338
44,0.0001250000059371814,0.043140921741724014,0.09427254647016525,0.030182478949427605,0.06955636292695999
45,0.0001250000059371814,0.04303181543946266,0.09417924284934998,0.029596908017992973,0.06910554319620132
46,6.25000029685907e-05,0.04286150634288788,0.09351994097232819,0.029642557725310326,0.06845095753669739
47,6.25000029685907e-05,0.042644090950489044,0.09328332543373108,0.029645094648003578,0.06823444366455078
48,6.25000029685907e-05,0.04273686185479164,0.09330397844314575,0.02954971231520176,0.06813276559114456
49,6.25000029685907e-05,0.04265386611223221,0.0933573767542839,0.030118843540549278,0.06919495016336441
